Quarter/Year,Quarter,Quarter No.,Year,Date,Total revenue ,Earnings per share (EPS) basic ,Adjusted revenue growth, Net income ,  Economic profit , Book value per share  ,Common share price High,Low,Close,Change in Share price , Total assets  , Average assets  ,Number of employees (full-time equivalent)  Total,Number of banking branches Total,Number of automated teller machines (ATMs),Interest income ,Total,Non interest total,Return on common equity (ROE),Return on assets(ROA),Total capital risk-weighted assets (RWA),RORAC (net Income/Total RWA),Dividend Payout Ratio,Sustainable grough rate(ROE*(1-DPR)),Company Name 
Q2/17,Q2,2,2017,2017-06-01,3698,2.59,,,,,119.86,109.71,110.25,,528591,528099,43444,,,2095,,1603,0.181,0.0082,175431,0.005985259,0.481,0.093939,CIBC
Q1/17,Q1,1,2017,2017-03-01,4209,3.5,,,,,113.16,97.76,110.81,,513294,528852,43016,,,2142,,2067,0.201,0.0106,169755,0.008288416,0.428,0.114972,CIBC
Q4/18,Q4,4,2018,2018-12-01,4452,2.81,,,,,124.59,112.24,113.68,,597099,603726,44220,,,2539,,1913,0.164408899,0.008332444,212116,0.005977861,0.450943361,0.090269798,CIBC
Q3/18,Q3,3,2018,2018-09-01,4547,3.02,,,,,118.72,112,118.72,,595025,605220,45091,,,2577,,1970,0.171,0.009,208394,0.006569287,0.43,0.09747,CIBC
Q2/18,Q2,2,2018,2018-06-01,4376,2.9,,,,,121.04,110.11,111.83,,590537,594340,44646,,,2476,,1900,0.174,0.0091,204647,0.006445245,0.449,0.095874,CIBC
Q1/18,Q1,1,2018,2018-03-01,4459,2.96,,,,,123.99,112.65,121.86,,586927,590344,44516,,,2473,,1986,0.188,0.0089,203321,0.006531544,0.407,0.111484,CIBC
Q4/12,Q4,4,2012,2012-12-01,3159,2.02,,,,,78.56,72.97,78.56,,393385,401092,42595,,,1848,,1311,0.218,0.0085,110000,0.007745455,0.461,0.117502,CIBC
Q3/12,Q3,3,2012,2012-09-01,3149,2,,,,,74.68,69.7,73.35,,401010,400543,42380,,,1883,,1266,0.225,0.0084,106300,0.007911571,0.437,0.126675,CIBC
Q2/12,Q2,2,2012,2012-06-01,3084,1.9,,,,,78,73.27,74.53,,387458,391646,42267,,,1753,,1331,0.233,0.0084,109000,0.007440367,0.45,0.12815,CIBC
Q1/12,Q1,1,2012,2012-03-01,3157,1.94,,,,,78,68.43,76.25,,391449,396122,42181,,,1842,,1315,0.228,0.0084,107000,0.007803738,0.455,0.12426,CIBC
Q4/16,Q4,4,2016,2016-12-01,3681,2.32,,,,,104.46,97.51,100.5,,501357,527702,43213,,,2110,,1571,0.188,0.007,169601,0.005489354,0.466,0.100392,CIBC
Q3/16,Q3,3,2016,2016-09-01,4136,3.61,,,,,104.19,96.84,99.19,,494490,511925,43741,,,2113,,2023,0.198,0.0112,168690,0.008542297,0.452,0.108504,CIBC
Q2/16,Q2,2,2016,2016-06-01,3631,2.35,,,,,101.76,83.33,101.34,,478144,502408,43380,,,2037,,1594,0.184,0.0076,166027,0.005667753,0.491,0.093656,CIBC
Q1/16,Q1,1,2016,2016-03-01,3587,2.44,,,,,101.22,83.42,91.24,,479032,494379,43609,,,2106,,1481,0.19,0.0079,163169,0.0060183,0.451,0.10431,CIBC
Q4/15,Q4,4,2015,2015-12-01,3483,1.93,,,,,102.74,86,100.28,,463309,476700,44201,,,2043,,1440,0.185094502,0.006480024,156652,0.004966422,0.474036057,0.097353034,CIBC
Q3/15,Q3,3,2015,2015-09-01,3520,2.42,,,,,96.99,89.55,93.46,,457842,457774,44385,,,2021,,1499,0.206,0.0085,154422,0.006333294,0.445,0.11433,CIBC
Q2/15,Q2,2,2015,2015-06-01,3394,2.25,,,,,97.62,89.26,96.88,,439203,448912,43566,,,1895,,1499,0.202,0.0083,147364,0.006181971,0.464,0.108272,CIBC
Q1/15,Q1,1,2015,2015-03-01,3459,2.28,,,,,107.16,88.18,88.18,,445223,437701,43883,,,1956,,1503,0.206,0.0084,147097,0.006274771,0.435,0.11639,CIBC
Q4/14,Q4,4,2014,2014-12-01,3213,1.99,,,,,107.01,95.93,102.89,,414903,418414,44424,,,1881,,1332,0.201,0.0077,141739,0.005721784,0.446,0.111354,CIBC
Q3/14,Q3,3,2014,2014-09-01,3355,2.26,,,,,102.06,95.66,101.21,,405422,411036,45161,,,1875,,1480,0.207,0.0089,140556,0.006552548,0.448,0.114264,CIBC
Q2/14,Q2,2,2014,2014-06-01,3164,0.73,,,,,97.72,85.49,97.72,,397102,406285,43907,,,1798,,1366,0.206,0.0031,135883,0.002251937,0.452,0.112888,CIBC
Q1/14,Q1,1,2014,2014-03-01,3631,2.88,,,,,91.58,86.57,86.57,,400955,410019,43573,,,1905,,1726,0.221,0.0114,140505,0.008376926,0.414,0.129506,CIBC
Q4/11,Q4,4,2011,2011-12-01,3202,1.9,,,,,76.5,67.84,75.1,,353699,366236,42239,,,1605,,1597,0.206,0.0086,110000,0.007218182,0.475,0.10815,CIBC
Q3/11,Q3,3,2011,2011-09-01,3057,1.61,,,,,84.45,72.75,72.98,,362579,371433,42425,,,1607,,1450,0.215,0.0086,106300,0.007601129,0.459,0.116315,CIBC
Q2/11,Q2,2,2011,2011-06-01,2889,1.9,,,,,85.49,76.75,81.91,,384106,368058,41928,,,1528,,1361,0.199,0.0076,109000,0.006220183,0.541,0.091341,CIBC
Q1/11,Q1,1,2011,2011-03-01,3101,1.92,,,,,81.05,75.12,76.27,,363219,354267,42078,,,1610,,1491,0.233,0.0089,107000,0.00746729,0.452,0.127684,CIBC
Q4/10,Q4,4,2010,2010-12-01,3254,1.17,,,,,79.5,66.81,78.23,,352040,355868,42354,,,1645,,1609,0.146,0.0056,106700,0.004686036,0.743,0.037522,CIBC
Q3/10,Q3,3,2010,2010-09-01,2849,1.54,,,,,75.4,65.91,70.6,,349600,353092,42642,,,1548,,1301,0.198,0.0072,107200,0.005970149,0.567,0.085734,CIBC
Q2/10,Q2,2,2010,2010-06-01,2921,1.6,,,,,77.19,63.16,74.56,,336001,333589,42018,,,1497,,1424,0.222,0.0081,108300,0.006094183,0.545,0.10101,CIBC
Q1/10,Q1,1,2010,2010-03-01,3061,1.59,,,,,70.66,61.96,63.9,,337239,340822,41819,,,1514,,1547,0.215,0.0076,112100,0.005816236,0.548,0.09718,CIBC
